,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
32,Ponta do Sol,0,BR,1554994188,63,-20.63,-46.0,81.18,6.62
33,Ostrovnoy,92,RU,1554994189,96,68.05,39.51,31.86,9.86
34,Opuwo,8,NA,1554994189,26,-18.06,13.84,89.55,4.16
35,Aklavik,75,CA,1554991200,92,68.22,-135.01,8.6,2.24
36,Emerald,90,AU,1554993792,88,-23.53,148.16,69.8,3.36
37,Tual,64,ID,1554994189,100,-5.67,132.75,83.79,9.31
38,Port Elizabeth,75,US,1554994115,66,39.31,-74.98,52.0,18.34
39,Kavaratti,0,IN,1554994190,100,10.57,72.64,85.59,10.65
40,Guerrero Negro,0,MX,1554994190,97,27.97,-114.04,59.22,7.18
41,Atuona,0,PF,1554994190,98,-9.8,-139.03,83.16,8.97
42,Buzias,75,RO,1554994159,67,45.65,21.6,63.0,12.75
43,Norman Wells,40,CA,1554991200,85,65.28,-126.83,14.0,2.82
44,Barrow,48,AR,1554994190,86,-38.31,-60.23,59.76,9.86
45,Sobolevo,100,RU,1554994191,56,54.43,31.9,47.34,9.98
46,Nikolskoye,90,RU,1554994013,87,59.7,30.79,33.01,11.18
47,Kamyaran,75,IR,1554993000,45,34.8,46.94,62.6,6.93
48,Launceston,0,AU,1554994003,81,-41.43,147.14,46.0,1.12
49,Hobart,20,AU,1554993986,87,-42.88,147.33,48.2,6.93
50,Busselton,0,AU,1554993947,55,-33.64,115.35,57.99,12.1
51,Bumba,68,CD,1554994192,95,2.18,22.47,79.56,3.27
52,Port-Gentil,75,GA,1554991200,94,-0.72,8.78,75.2,19.46
53,Riyadh,75,SA,1554991200,23,24.63,46.72,86.0,3.36
54,Hay River,75,CA,1554991200,92,60.82,-115.79,30.2,4.7
55,Juan Aldama,90,MX,1554993918,100,24.94,-107.82,69.01,4.16
56,Abaza,0,RU,1554994193,69,52.65,90.1,25.2,2.04
57,Cherskiy,0,RU,1554994193,51,68.75,161.3,0.9,2.82
58,Port Alfred,0,ZA,1554993966,92,-33.59,26.89,64.99,3.0
59,Punta Arenas,0,CL,1554993746,57,-53.16,-70.91,48.2,14.99
60,Yellowknife,75,CA,1554993724,80,62.45,-114.38,30.2,10.29
61,Talnakh,76,RU,1554994193,83,69.49,88.39,9.0,6.17
62,Halifax,75,CA,1554994014,69,44.65,-63.58,43.0,12.75
63,Poletayevo,20,RU,1554993904,36,55.04,61.11,60.8,6.71
64,Port Hedland,90,AU,1554991200,79,-20.31,118.58,84.2,6.93
65,Porbandar,0,IN,1554994194,69,21.64,69.61,80.64,11.21
66,Srandakan,88,ID,1554994195,88,-7.94,110.25,76.95,3.38
67,Tecoanapa,20,MX,1554990540,83,16.99,-99.26,73.4,4.7
68,Venado Tuerto,0,AR,1554993983,25,-33.75,-61.97,68.0,5.99
69,Zeya,44,RU,1554994195,52,53.74,127.27,33.12,4.61
70,Cape Town,0,ZA,1554994027,68,-33.93,18.42,72.0,17.22
71,Provideniya,12,RU,1554994195,100,64.42,-173.23,18.36,22.17
72,Torbay,75,CA,1554994026,86,47.66,-52.73,39.99,16.11
73,Paamiut,0,GL,1554994196,88,61.99,-49.67,35.19,13.0
74,Xining,8,CN,1554994045,51,36.62,101.77,41.4,6.62
75,Lompoc,90,US,1554993737,93,34.64,-120.46,61.0,8.19
76,The Pas,1,CA,1554991200,58,53.82,-101.24,24.8,9.17
77,Palmer,0,AU,1554994058,54,-34.85,139.16,60.01,5.82
78,Hasaki,75,JP,1554993740,81,35.73,140.83,45.0,5.82
79,Nome,75,US,1554994185,78,30.04,-94.42,75.0,6.93
80,Pizhma,76,RU,1554994197,95,57.86,47.12,44.28,4.16
81,Itoman,75,JP,1554991500,83,26.12,127.67,69.8,8.05
82,Bethel,1,US,1554990960,66,60.79,-161.76,41.0,11.41
83,Howard Springs,0,AU,1554993935,94,-12.5,131.05,80.01,3.36
84,Athabasca,56,CA,1554994130,86,54.72,-113.29,39.42,7.74
85,Hailar,0,CN,1554994198,49,49.2,119.7,31.95,11.65
86,Nantucket,1,US,1554994042,33,41.28,-70.1,45.0,4.7
87,Airai,36,TL,1554994198,92,-8.93,125.41,71.82,1.7
88,Saint George,20,GR,1554992400,40,39.45,22.34,71.6,8.05
89,Jamestown,0,AU,1554994199,82,-33.21,138.6,41.22,6.85
90,Arraial do Cabo,20,BR,1554991200,69,-22.97,-42.02,82.4,4.7
91,Chara,20,GR,1554992400,40,39.42,22.43,71.6,8.05
92,Padang,40,ID,1554991200,94,-0.92,100.36,78.8,3.36
93,Cidreira,0,BR,1554994200,66,-30.17,-50.22,81.9,7.4
94,Hermanus,0,ZA,1554994027,78,-34.42,19.24,72.0,4.0
95,Albany,1,US,1554994115,40,42.65,-73.75,45.0,3.36
96,Hobyo,0,SO,1554994200,67,5.35,48.53,84.42,11.99
97,Husavik,0,CA,1554994192,51,50.56,-96.99,33.01,3.0
98,Itatinga,0,BR,1554994201,78,-23.1,-48.61,77.49,6.62
99,Hamilton,90,BM,1554993964,88,32.3,-64.78,64.4,18.34
100,Tobol,0,SE,1554992400,26,59.83,12.54,42.8,6.93
101,Banepa,75,NP,1554992400,77,27.63,85.52,68.0,5.82
102,Chuy,44,UY,1554994202,100,-33.69,-53.46,70.74,7.18
103,Aras,92,YE,1554994202,43,14.28,44.38,68.49,1.59
104,Seoul,75,KR,1554991800,75,37.57,126.98,46.4,1.12
105,Qaanaaq,88,GL,1554994202,100,77.48,-69.36,10.26,2.93
106,Sisimiut,76,GL,1554993947,99,66.94,-53.67,26.46,2.15
107,Batagay,80,RU,1554994202,74,67.65,134.64,20.52,5.39
108,Sibu,75,MY,1554991200,88,2.29,111.83,80.6,2.15
109,Shache,8,CN,1554993941,52,38.42,77.24,53.01,1.01
110,Chunoyar,44,RU,1554994203,40,57.45,97.32,25.56,6.62
111,Puerto Ayora,0,EC,1554994021,78,-0.74,-90.35,80.6,62.19
112,Mar del Plata,36,AR,1554994055,60,-46.43,-67.52,57.42,7.74
113,Abay,0,KZ,1554991200,55,49.63,72.87,50.0,11.18
114,Thompson,20,CA,1554991200,37,55.74,-97.86,21.2,3.36
115,Mineiros,88,BR,1554993937,80,-17.57,-52.55,77.4,4.38
116,Ancud,75,CL,1554991200,71,-41.87,-73.83,50.0,16.11
117,Nyurba,20,RU,1554994204,44,63.29,118.35,18.9,10.09
118,Santiago del Estero,100,AR,1554994105,66,-27.8,-64.26,70.56,8.3
119,Iqaluit,20,CA,1554993721,77,63.75,-68.52,6.8,26.4
120,Vaida,40,RO,1554993000,45,47.25,21.99,66.2,16.11
121,Tiruchchendur,0,IN,1554994205,71,8.48,78.12,86.85,9.75
122,University Park,40,US,1554994010,40,32.86,-96.79,73.0,9.17
123,Zhob,76,PK,1554994205,98,31.34,69.45,53.19,1.48
124,Mabaruma,76,GY,1554994205,82,8.2,-59.78,81.9,6.85
125,Baghdad,75,IQ,1554993000,53,33.3,44.38,77.0,13.87
126,Basco,1,US,1554993962,81,40.33,-91.2,62.01,11.41
127,Shieli,32,KZ,1554994206,96,44.18,66.74,55.89,5.73
128,Ahuimanu,75,US,1554994014,85,21.44,-157.84,75.2,10.29
129,Castro,75,CL,1554991200,71,-42.48,-73.76,50.0,16.11
130,Coihaique,0,CL,1554991200,71,-45.58,-72.07,50.0,6.93
131,Ribeira Grande,75,PT,1554993000,100,38.52,-28.7,62.6,12.75
132,Slave Lake,90,CA,1554991200,100,55.28,-114.77,33.8,4.7
133,Poronaysk,8,RU,1554994207,89,49.22,143.1,21.96,2.59
134,Chicama,0,PE,1554991200,83,-7.84,-79.15,69.8,12.75
135,Waipawa,92,NZ,1554993976,95,-39.94,176.59,53.01,11.01
136,Thinadhoo,76,MV,1554994129,100,0.53,72.93,84.87,7.29
137,Lake Charles,90,US,1554994107,78,30.23,-93.22,73.99,12.75
138,Srednekolymsk,64,RU,1554994207,88,67.46,153.71,12.87,2.48
139,Port Blair,0,IN,1554994208,100,11.67,92.75,85.86,2.93
140,Faanui,92,PF,1554994208,100,-16.48,-151.75,78.66,5.5
141,Luganville,44,VU,1554994208,98,-15.51,167.18,83.52,9.53
142,East London,0,ZA,1554991200,69,-33.02,27.91,78.8,10.29
143,Mareeba,48,AU,1554993918,73,-16.99,145.42,75.2,9.17
144,Jieshi,88,CN,1554993658,78,22.82,115.83,73.99,3.0
145,Lata,0,IN,1554994209,88,30.78,78.62,49.86,1.59
146,Deniliquin,12,AU,1554993985,71,-35.53,144.96,52.0,7.0
147,Presidencia Roque Saenz Pena,12,AR,1554994209,69,-26.79,-60.44,79.56,11.43
148,Rio Gallegos,20,AR,1554991200,53,-51.62,-69.22,51.8,24.16
149,Sosua,20,DO,1554993995,69,19.77,-70.52,84.99,6.93
150,Guangyuan,68,CN,1554994210,83,32.43,105.86,58.32,2.59
151,Meulaboh,48,ID,1554994211,100,4.14,96.13,79.92,3.71
152,Severo-Kurilsk,76,RU,1554994211,100,50.68,156.12,27.72,4.38
153,Geraldton,75,CA,1554991200,67,49.72,-86.95,19.4,11.41
154,Solnechnyy,24,RU,1554994211,67,50.72,136.64,26.82,5.73
155,Alexandria,75,US,1554994148,73,31.31,-92.44,73.4,10.29
156,Leningradskiy,12,RU,1554994212,74,69.38,178.42,-6.76,8.19
157,Naze,40,NG,1554991200,83,5.43,7.07,82.4,6.93
158,Kieta,20,PG,1554994212,99,-6.22,155.63,78.66,5.39
159,Butaritari,92,KI,1554994213,100,3.07,172.79,74.07,2.93
160,Wolgast,44,DE,1554993413,64,54.05,13.77,39.99,1.99
161,Barguzin,0,RU,1554994213,53,53.62,109.63,18.9,4.61
162,Chokurdakh,0,RU,1554994213,64,70.62,147.9,-3.88,2.93
163,Esperance,75,TT,1554993930,58,10.24,-61.45,87.01,13.87
164,San Cristobal,20,EC,1554993931,67,-0.39,-78.55,62.6,3.36
165,Margate,20,AU,1554993986,87,-43.03,147.26,48.2,6.93
166,Alghero,40,IT,1554994204,72,40.56,8.32,59.0,3.36
167,Lubyany,0,RU,1554991200,33,56.04,51.4,62.6,17.9
168,Mattru,20,SL,1554994214,53,7.62,-11.83,95.31,5.61
169,Waingapu,36,ID,1554994215,97,-9.65,120.26,72.99,2.37
170,Bandarbeyla,0,SO,1554994215,100,9.49,50.81,81.27,7.63
171,Toguchin,24,RU,1554994215,40,55.24,84.4,36.27,8.97
172,Sur,20,OM,1554994215,90,22.57,59.53,79.47,12.1
173,Lagoa,40,PT,1554994193,72,37.14,-8.45,69.01,20.8
174,Zhezkazgan,48,KZ,1554994216,65,47.8,67.71,52.56,3.27
175,Haines Junction,24,CA,1554994216,73,60.75,-137.51,11.25,2.15
176,Inhambane,75,MZ,1554991200,65,-23.87,35.38,82.4,9.17
177,Benghazi,92,LY,1554994216,80,32.12,20.07,68.76,13.0
178,Balgazyn,68,RU,1554994216,44,51.0,95.2,30.69,3.6
179,Kutum,8,SD,1554994216,19,14.2,24.66,95.4,4.83
180,Hofn,90,IS,1554991200,87,64.25,-15.21,44.6,6.93
181,Khatanga,68,RU,1554994217,78,71.98,102.47,4.5,12.33
182,Whitehorse,5,CA,1554993909,79,60.72,-135.06,26.6,10.29
183,Kropotkin,36,RU,1554993917,70,45.43,40.58,68.0,2.93
184,Kalaleh,20,IR,1554991200,57,37.38,55.49,80.6,4.7
185,Moron,24,VE,1554994217,64,10.49,-68.2,81.09,2.71
186,Iacu,44,BR,1554994218,73,-12.77,-40.21,87.21,5.06
187,La Grande,90,US,1554993948,80,45.32,-118.09,46.99,3.83
188,Constitucion,20,MX,1554994215,19,23.99,-104.67,61.0,9.17
189,Touros,64,BR,1554994091,71,-5.2,-35.46,87.84,12.77
190,Namatanai,32,PG,1554994218,100,-3.66,152.44,82.26,7.63
191,Green River,90,US,1554993995,92,41.53,-109.47,27.0,4.7
192,Kuruman,64,ZA,1554993990,44,-27.46,23.43,77.0,1.01
193,Soe,56,EE,1554994216,72,57.91,26.05,33.01,8.05
194,Casablanca,75,MA,1554993974,59,33.6,-7.62,68.0,23.04
195,Turukhansk,48,RU,1554994219,79,65.8,87.96,4.14,4.83
196,Klaksvik,32,FO,1554992400,56,62.23,-6.59,42.8,11.41
197,Hualmay,0,PE,1554994220,76,-11.1,-77.61,73.44,4.72
198,Pevek,0,RU,1554994220,48,69.7,170.27,-2.62,3.6
199,Northam,20,GB,1554994207,66,51.04,-4.21,53.01,9.17
200,Salalah,0,OM,1554990600,66,17.01,54.1,84.2,11.41
201,Saint-Philippe,1,CA,1554994206,55,45.36,-73.48,39.0,4.7
202,Atlantic Beach,40,US,1554994204,78,30.33,-81.4,79.0,11.41
203,Prata,0,BR,1554994131,81,-19.31,-48.92,81.63,7.74
204,San Patricio,44,PY,1554994221,66,-26.98,-56.83,81.99,3.27
205,Emilio Carranza,0,MX,1554994221,53,19.97,-96.61,79.74,5.61
206,Saskylakh,56,RU,1554994221,74,71.97,114.09,-0.19,8.63
207,Inuvik,75,CA,1554991200,84,68.36,-133.71,8.6,5.82
208,Kahului,75,US,1554994174,73,20.89,-156.47,75.2,16.11
209,Maldonado,75,UY,1554991200,77,-34.91,-54.96,66.2,17.22
210,Dingle,44,PH,1554994222,94,11.0,122.67,75.69,2.59
211,Avera,90,US,1554994205,77,33.19,-82.53,69.01,5.82
212,Port Macquarie,90,AU,1554994205,87,-31.43,152.91,59.0,9.17
213,Karasuk,0,RU,1554994222,68,53.73,78.03,39.87,3.6
214,Kaitangata,48,NZ,1554994112,81,-46.28,169.85,50.0,4.0
215,Cockburn Town,0,TC,1554994223,95,21.46,-71.14,80.01,8.52
216,Alice Springs,0,AU,1554991200,29,-23.7,133.88,64.4,5.82
217,Antsohihy,12,MG,1554994223,78,-14.88,47.99,81.99,1.81
218,Codrington,75,AU,1554994028,93,-28.95,153.24,61.0,3.71
219,Tilichiki,0,RU,1554994223,67,60.47,166.1,7.29,2.59
220,San Lorenzo de El Escorial,40,ES,1554994220,40,40.59,-4.15,64.0,9.17
221,Batsfjord,75,NO,1554990600,97,70.63,29.72,35.6,23.04
222,New Norfolk,20,AU,1554993986,87,-42.78,147.06,48.2,6.93
223,Ayna,40,ES,1554993913,38,38.55,-2.07,59.0,17.22
224,Georgetown,40,GY,1554991200,74,6.8,-58.16,89.6,16.11
225,Ayagoz,0,KZ,1554994224,31,47.96,80.43,45.27,13.11
226,Sajanan,40,TN,1554991200,71,37.06,9.24,64.4,16.11
227,Katsuura,75,JP,1554993663,43,33.93,134.5,51.8,11.41
228,Amapa,20,HN,1554991200,78,15.09,-87.97,78.8,5.82
229,Carnarvon,0,ZA,1554994225,22,-30.97,22.13,79.11,10.09
230,Karakol,92,KG,1554994128,92,42.49,78.39,34.2,1.81
231,Katoro,0,TZ,1554994225,65,-3.0,31.93,78.12,7.96
232,Isangel,92,VU,1554994225,100,-19.55,169.27,76.23,2.82
233,Chase,90,US,1554994205,67,43.89,-85.64,34.0,24.16
234,Sabang,56,PH,1554994226,95,13.72,123.58,79.11,5.17
235,Beisfjord,75,NO,1554994209,87,68.38,17.6,37.0,16.11
236,Rawson,0,AR,1554994226,49,-43.3,-65.11,67.41,6.73
237,Homer,90,US,1554993976,65,59.64,-151.54,44.6,20.8
238,Drakhtik,36,AZ,1554994227,54,39.63,47.0,59.67,1.92
239,Clyde River,1,CA,1554991200,78,70.47,-68.59,8.6,3.36
240,Gabu,0,CN,1554994227,73,34.78,103.0,35.46,3.94
241,Mahebourg,40,MU,1554994144,78,-20.41,57.7,80.6,8.05
242,Boromo,0,BF,1554994228,19,11.74,-2.93,103.23,4.94
243,Cabo Rojo,90,PR,1554994215,74,18.09,-67.15,84.0,4.7
244,Molchanovo,48,RU,1554994228,91,57.58,83.76,34.56,7.63
245,Kruisfontein,20,ZA,1554994228,78,-34.0,24.73,66.42,6.51
246,Cairns,0,AU,1554993918,73,-16.92,145.77,75.2,9.17
247,Sirjan,8,IR,1554993976,65,29.44,55.67,57.15,3.15
248,Biltine,0,TD,1554994229,16,14.53,20.93,103.14,8.75
249,Praya,40,ID,1554991200,100,-8.71,116.27,77.0,2.24
250,Ahipara,76,NZ,1554994229,88,-35.17,173.16,62.37,18.25
251,Vila Velha,75,BR,1554992291,70,-3.71,-38.6,84.2,5.82
252,Hondo,1,US,1554994226,46,29.35,-99.14,73.99,5.82
253,Kloulklubed,75,PW,1554990600,78,7.04,134.26,78.8,6.93
254,Lebu,75,ET,1554991200,36,8.96,38.73,77.0,16.11
255,Saint-Pierre,0,FR,1554994213,37,48.95,4.24,57.99,19.46
256,Sicamous,90,CA,1554994141,100,50.84,-118.99,37.0,2.24
257,Tuktoyaktuk,90,CA,1554991200,84,69.44,-133.03,8.6,17.22
258,Hervey Bay,44,AU,1554993939,77,-25.3,152.85,66.99,8.05
259,Nogliki,36,RU,1554994231,90,51.8,143.14,22.59,1.92
260,Muisne,40,EC,1554991200,94,0.61,-80.02,78.8,4.7
261,Kavieng,20,PG,1554994231,100,-2.57,150.8,82.8,4.5
262,Kirando,32,TZ,1554994231,91,-7.37,30.62,80.91,3.49
263,Nanortalik,80,GL,1554994231,84,60.14,-45.24,35.19,17.02
264,Shimoda,75,JP,1554994211,62,34.7,138.93,55.4,4.7
265,Samarai,80,PG,1554994232,100,-10.62,150.67,76.59,3.49
266,Hammond,1,US,1554994012,78,30.5,-90.46,77.0,16.11
267,San Fernando,0,CL,1554991200,76,-34.58,-70.99,60.8,3.36
268,Osakarovka,20,KZ,1554994233,45,50.56,72.58,49.86,13.44
269,Komsomolskiy,0,RU,1554994233,75,67.55,63.78,7.38,3.71
270,Souillac,90,FR,1554994202,51,45.6,-0.6,63.0,10.29
271,Praia da Vitoria,75,PT,1554993989,93,38.73,-27.07,64.4,21.83
272,Camopi,32,GF,1554994234,71,3.17,-52.33,85.14,3.04
273,Luderitz,0,NA,1554994234,81,-26.65,15.16,66.42,8.97
274,Camacha,20,PT,1554993443,59,33.08,-16.33,66.2,10.29
275,Itabirito,75,BR,1554993715,61,-20.25,-43.8,81.0,4.7
276,Bandiagara,0,ML,1554994234,18,14.35,-3.61,99.54,10.54
277,Praia,75,BR,1554993715,61,-20.25,-43.81,81.0,4.7
278,Vysokogornyy,0,RU,1554994235,71,50.1,139.13,16.11,2.15
279,Portland,90,US,1554993664,93,45.52,-122.67,48.99,4.7
280,Guiratinga,32,BR,1554994005,91,-16.35,-53.76,81.72,3.94
281,Corn Island,8,NI,1554994235,100,12.17,-83.04,80.46,6.85
282,Valence,90,FR,1554994127,62,44.93,4.89,61.0,14.99
283,Lukovetskiy,90,RU,1554991200,86,64.29,41.92,26.6,4.47
284,Patrocinio,56,PH,1554994236,95,13.72,123.64,79.11,5.17
285,Sribne,76,UA,1554994236,73,50.66,32.92,61.29,6.96
286,Auki,48,NG,1554994236,21,12.18,6.51,102.24,7.74
287,Lamont,56,CA,1554994207,76,53.76,-112.78,41.0,3.0
288,Loreto,0,PY,1554994237,85,-23.27,-57.32,84.33,4.38
289,Valparaiso,1,US,1554994083,68,41.47,-87.06,46.99,23.04
290,Montepuez,68,MZ,1554994237,66,-13.13,39.0,81.54,7.96
291,Kaltasy,44,RU,1554994238,66,55.97,54.79,52.92,7.85
292,Bafia,76,CM,1554994238,57,4.74,11.22,84.87,6.17
293,Nurota,8,UZ,1554991200,49,40.56,65.69,71.6,6.93
294,Oriximina,44,BR,1554994238,79,-1.77,-55.87,84.06,2.71
295,Evensk,48,RU,1554994238,100,61.92,159.24,20.97,4.38
296,Pirgos,40,GR,1554994172,68,35.12,25.72,71.01,5.82
297,Tuatapere,92,NZ,1554994207,83,-46.13,167.69,48.99,4.0
298,Sao Filipe,0,CV,1554994239,92,14.9,-24.5,72.45,20.83
299,Pedernales,0,EC,1554994034,61,0.07,-80.05,85.14,4.38
300,Belmonte,0,PT,1554993931,54,40.36,-7.35,61.0,4.0
301,Carutapera,92,BR,1554994239,100,-1.2,-46.02,74.43,3.38
302,Yugorsk,68,RU,1554994240,83,61.32,63.33,42.93,8.19
303,Ucluelet,90,CA,1554993870,93,48.94,-125.55,45.0,2.24
304,Kidal,0,ML,1554994240,12,18.44,1.41,95.76,8.75
305,Fukue,75,JP,1554994006,57,35.03,136.69,50.0,18.34
306,Kaohsiung,75,TW,1554993920,78,22.62,120.31,79.0,8.05
307,Zhanaozen,64,KZ,1554994240,63,43.35,52.85,66.96,8.41
308,Labuhan,100,ID,1554994240,99,-2.54,115.51,74.34,2.59
309,Shingu,92,JP,1554994241,100,33.72,135.99,54.27,5.5
310,Nhulunbuy,90,AU,1554991200,94,-12.18,136.78,77.0,17.02
311,Chumikan,0,RU,1554994241,61,54.72,135.31,25.65,4.72
312,Svetlogorsk,0,RU,1554991200,30,53.14,59.15,59.0,4.47
313,Makakilo City,1,US,1554994014,69,21.35,-158.09,75.2,5.82
314,Banda Aceh,92,ID,1554994242,79,5.56,95.32,81.54,2.15
315,Petropavlovsk-Kamchatskiy,24,RU,1554991200,92,53.05,158.65,21.2,4.47
316,Leua,36,AO,1554994242,91,-11.65,20.45,71.73,3.27
317,Bambous Virieux,40,MU,1554994144,78,-20.34,57.76,80.6,8.05
318,Marsh Harbour,36,BS,1554994044,100,26.54,-77.06,74.97,8.19
319,Santa Cruz,1,US,1554994216,87,36.97,-122.03,53.01,6.93
320,Koutiala,8,ML,1554994248,18,12.39,-5.46,101.25,9.75
321,Vizinga,56,RU,1554994248,78,61.08,50.08,37.8,7.63
322,Pitimbu,75,BR,1554991200,74,-7.47,-34.81,86.0,9.17
323,Vardo,1,US,1554993975,45,39.62,-77.74,52.0,8.05
324,Makinsk,0,KZ,1554994248,68,52.63,70.42,42.48,5.61
325,Juegang,0,CN,1554993765,61,32.31,121.18,53.01,2.26
326,Ratnagiri,0,IN,1554994125,95,16.98,73.3,83.07,12.33
327,Saint-Joseph,90,FR,1554994230,76,43.56,6.97,60.8,2.24
328,Coquimbo,90,CL,1554991200,77,-29.95,-71.34,59.0,3.04
329,Ossora,0,RU,1554994250,76,59.24,163.07,7.02,4.61
330,Burnie,0,AU,1554994236,93,-41.05,145.91,46.99,1.99
331,Bontang,20,ID,1554994251,96,0.12,117.47,82.71,2.93
332,Zollikofen,75,CH,1554994242,66,47.0,7.46,55.0,9.17
333,Arona,75,IT,1554994241,81,45.76,8.56,55.4,3.36
334,Cayenne,75,GF,1554991200,74,4.94,-52.33,84.2,13.87
335,Sarangani,12,PH,1554994251,95,5.4,125.46,82.89,14.67
336,Japura,36,ID,1554994252,89,-0.42,102.29,76.86,1.92
337,Ziro,44,IN,1554994252,92,27.54,93.82,58.23,1.48
338,Vao,48,EE,1554994252,67,59.1,26.19,32.67,7.4
339,Necochea,56,AR,1554994252,89,-38.55,-58.74,59.04,12.21
340,Manohar Thana,56,IN,1554994252,37,24.24,76.8,83.16,6.96
341,Reykjavik,75,IS,1554993912,81,64.15,-21.94,51.01,33.33
342,Gorontalo,56,ID,1554994253,94,0.54,123.06,75.69,1.81
343,Bilibino,0,RU,1554994253,64,68.06,166.44,-1.27,2.59
344,Arak,75,IR,1554991200,42,34.1,49.69,64.4,9.17
345,Buraydah,75,SA,1554991200,48,26.33,43.97,84.2,16.11
346,Matagami,64,NG,1554994253,62,9.67,8.4,84.33,6.17
347,Barao de Melgaco,75,BR,1554991200,83,-16.19,-55.97,80.6,2.24
348,Bitung,40,ID,1554993000,94,1.44,125.19,78.8,2.24
349,Port Hawkesbury,40,CA,1554994251,76,45.62,-61.36,43.0,12.75
350,Xinzhi,75,TW,1554993920,74,22.54,120.62,80.6,6.93
351,Mutis,32,CO,1554994254,95,6.23,-77.4,78.39,3.6
352,Inirida,56,CO,1554994254,88,3.87,-67.92,80.28,2.71
353,Te Anau,88,NZ,1554994077,93,-45.41,167.72,39.69,2.37
354,Firminy,40,FR,1554994254,54,45.39,4.29,60.01,18.34
355,Dubti,44,ET,1554994255,28,11.74,41.09,97.02,6.96
356,Flinders,90,AU,1554994149,87,-34.58,150.85,57.99,3.36
357,Caohai,12,CN,1554994255,90,26.87,104.28,49.5,3.38
358,Buala,92,SB,1554994255,100,-8.15,159.59,79.02,6.29
359,Aksu,40,KZ,1554991200,52,52.04,76.93,46.4,4.47
360,Sakete,40,BJ,1554991200,74,6.74,2.66,86.0,5.82
361,Deputatskiy,48,RU,1554994256,69,69.3,139.9,2.97,2.71
362,Dunedin,76,NZ,1554993918,93,-45.87,170.5,51.01,20.0
363,Kodiak,40,US,1554994177,71,39.95,-94.76,55.0,26.4
364,Bichura,88,RU,1554994257,54,50.59,107.6,32.22,7.4
365,Sault Sainte Marie,1,CA,1554991200,63,46.49,-84.36,30.2,10.29
366,San Borja,12,BO,1554994257,65,-14.86,-66.75,83.79,2.59
367,Pavullo nel Frignano,40,IT,1554994250,82,44.33,10.84,60.01,5.82
368,Kijini,75,TZ,1554991200,88,-5.85,39.32,80.6,5.82
369,Caravelas,92,BR,1554994257,100,-17.73,-39.27,81.09,8.19
370,Merauke,80,ID,1554994258,100,-8.49,140.4,77.22,10.76
371,Apollonia,20,GR,1554994206,32,40.64,23.49,72.0,8.05
372,Bud,0,NO,1554993936,42,62.91,6.91,46.4,9.17
373,Okuchi,100,JP,1554993745,76,32.07,130.62,51.01,2.15
374,Turka,92,UA,1554994146,62,49.16,23.03,46.0,9.64
375,Mercedes,88,UY,1554994259,76,-33.25,-58.03,68.94,17.25
